index,Core Density,CC AB,F1,Self Activation Status,Impurity
20_With Self Activation_Network_0,20,-0.7341498124698829,0.1275933333333332,With Self Activation,0.0
20_With Self Activation_Network_1,20,-0.8622597879067239,0.2446233333333332,With Self Activation,0.0
20_With Self Activation_Network_2,20,-0.7503968841762099,0.1820866666666666,With Self Activation,0.0
20_With Self Activation_Network_3,20,-0.7726697781762678,0.1299166666666666,With Self Activation,0.0
20_With Self Activation_Network_4,20,-0.7060001439936207,0.0696233333333332,With Self Activation,0.0
20_With Self Activation_Network_5,20,-0.850498278695365,0.3285633333333333,With Self Activation,0.0
20_With Self Activation_Network_6,20,-0.8470857176485785,0.1713099999999999,With Self Activation,0.0
20_With Self Activation_Network_7,20,-0.6252386322651265,0.0885466666666666,With Self Activation,0.0
20_With Self Activation_Network_8,20,-0.9152814510634968,0.43852,With Self Activation,0.0
20_With Self Activation_Network_9,20,-0.6411299747417418,0.1043066666666666,With Self Activation,0.0
20_With Self Activation_Network_10,20,-0.6775440720538907,0.0822033333333333,With Self Activation,0.0
20_With Self Activation_Network_11,20,-0.5241692865313758,0.0423399999999999,With Self Activation,0.0
20_With Self Activation_Network_12,20,-0.9409450885697972,0.5019733333333334,With Self Activation,0.0
20_With Self Activation_Network_13,20,-0.8428844843754524,0.3665999999999999,With Self Activation,0.0
20_With Self Activation_Network_14,20,-0.6598300779778448,0.06222,With Self Activation,0.0
20_With Self Activation_Network_15,20,-0.6162051081642115,0.0865199999999999,With Self Activation,0.0
20_With Self Activation_Network_16,20,-0.8515368443464838,0.3038499999999999,With Self Activation,0.0
20_With Self Activation_Network_17,20,-0.7422537263757462,0.1372699999999999,With Self Activation,0.0
20_With Self Activation_Network_18,20,-0.4967411962032764,0.0451666666666666,With Self Activation,0.0
20_With Self Activation_Network_19,20,-0.7615284762727529,0.1794233333333332,With Self Activation,0.0
20_With Self Activation_Network_20,20,-0.8980383853927307,0.4451333333333332,With Self Activation,0.0
20_With Self Activation_Network_21,20,-0.8440084832649258,0.2668066666666666,With Self Activation,0.0
20_With Self Activation_Network_22,20,-0.6853829402802352,0.0689133333333332,With Self Activation,0.0
20_With Self Activation_Network_23,20,-0.7249036865835919,0.16103,With Self Activation,0.0
20_With Self Activation_Network_24,20,-0.8875167977467834,0.3659233333333332,With Self Activation,0.0
