index,Core Density,CC AB,F1,Team Size,Self Activation Status
75_Yes_Network_1,75,-1.0,1.0,2,Yes
75_Yes_Network_2,75,-0.7515130994029163,0.8757566666666665,2,Yes
75_Yes_Network_3,75,-1.0,1.0,2,Yes
75_Yes_Network_4,75,-1.0,1.0,2,Yes
75_Yes_Network_5,75,-1.0,1.0,2,Yes
75_Yes_Network_6,75,-1.0,1.0,2,Yes
75_Yes_Network_7,75,-0.7151241360880446,0.75017,2,Yes
75_Yes_Network_8,75,-0.7494584497019203,0.87473,2,Yes
75_Yes_Network_9,75,-0.7130948542345167,0.74978,2,Yes
75_Yes_Network_10,75,-1.0,1.0,2,Yes
75_Yes_Network_11,75,-0.7481580640976911,0.8740766666666668,2,Yes
75_Yes_Network_12,75,-0.7147219134525314,0.7502066666666666,2,Yes
75_Yes_Network_13,75,-0.7137683061177963,0.7492099999999999,2,Yes
75_Yes_Network_14,75,-1.0,1.0,2,Yes
75_Yes_Network_15,75,-1.0,1.0,2,Yes
75_Yes_Network_16,75,-1.0,1.0,2,Yes
75_Yes_Network_17,75,-1.0,1.0,2,Yes
75_Yes_Network_18,75,-1.0,1.0,2,Yes
75_Yes_Network_19,75,-0.7509760703746508,0.8754833333333334,2,Yes
75_Yes_Network_20,75,-1.0,1.0,2,Yes
75_Yes_Network_21,75,-1.0,1.0,2,Yes
75_Yes_Network_22,75,-1.0,1.0,2,Yes
75_Yes_Network_23,75,-1.0,1.0,2,Yes
75_Yes_Network_24,75,-1.0,1.0,2,Yes
75_Yes_Network_25,75,-1.0,1.0,2,Yes
75_Yes_Network_26,75,-1.0,1.0,2,Yes
75_Yes_Network_27,75,-1.0,1.0,2,Yes
75_Yes_Network_28,75,-1.0,1.0,2,Yes
75_Yes_Network_29,75,-1.0,1.0,2,Yes
75_Yes_Network_30,75,-1.0,1.0,2,Yes
75_Yes_Network_31,75,-0.7499543352469963,0.87497,2,Yes
75_Yes_Network_32,75,-0.7496374178300106,0.8748166666666666,2,Yes
75_Yes_Network_33,75,-1.0,1.0,2,Yes
75_Yes_Network_34,75,-1.0,1.0,2,Yes
75_Yes_Network_35,75,-1.0,1.0,2,Yes
75_Yes_Network_36,75,-1.0,1.0,2,Yes
75_Yes_Network_37,75,-0.715871537912806,0.7497066666666665,2,Yes
75_Yes_Network_38,75,-1.0,1.0,2,Yes
75_Yes_Network_39,75,-1.0,1.0,2,Yes
75_Yes_Network_40,75,-1.0,1.0,2,Yes
75_Yes_Network_41,75,-0.7518576767754294,0.8759233333333333,2,Yes
75_Yes_Network_42,75,-0.748774069226166,0.8743766666666666,2,Yes
75_Yes_Network_43,75,-1.0,1.0,2,Yes
75_Yes_Network_44,75,-1.0,1.0,2,Yes
75_Yes_Network_45,75,-1.0,1.0,2,Yes
75_Yes_Network_46,75,-0.7134798845752576,0.7498266666666666,2,Yes
75_Yes_Network_47,75,-0.715453213350751,0.7503566666666666,2,Yes
75_Yes_Network_48,75,-1.0,1.0,2,Yes
75_Yes_Network_49,75,-1.0,1.0,2,Yes
75_Yes_Network_50,75,-1.0,1.0,2,Yes
75_Yes_Network_51,75,-1.0,1.0,2,Yes
75_Yes_Network_52,75,-1.0,1.0,2,Yes
75_Yes_Network_53,75,-1.0,1.0,2,Yes
75_Yes_Network_54,75,-1.0,1.0,2,Yes
75_Yes_Network_55,75,-1.0,1.0,2,Yes
75_Yes_Network_56,75,-1.0,1.0,2,Yes
75_Yes_Network_57,75,-0.7147496417308551,0.7503466666666666,2,Yes
75_Yes_Network_58,75,-1.0,1.0,2,Yes
75_Yes_Network_59,75,-1.0,1.0,2,Yes
75_Yes_Network_60,75,-1.0,1.0,2,Yes
75_Yes_Network_61,75,-1.0,1.0,2,Yes
75_Yes_Network_62,75,-1.0,1.0,2,Yes
75_Yes_Network_63,75,-1.0,1.0,2,Yes
75_Yes_Network_64,75,-1.0,1.0,2,Yes
77_Yes_Network_1,77,-1.0,1.0,3,Yes
77_Yes_Network_2,77,-0.9995395876908076,0.9375133333333332,3,Yes
77_Yes_Network_3,77,-1.0,0.9999999999999998,3,Yes
77_Yes_Network_4,77,-1.0,1.0,3,Yes
77_Yes_Network_5,77,-0.9999398133235566,0.9685733333333332,3,Yes
77_Yes_Network_6,77,-1.0,1.0,3,Yes
77_Yes_Network_7,77,-0.9999403032377336,0.96866,3,Yes
77_Yes_Network_8,77,-1.0,0.9999999999999998,3,Yes
77_Yes_Network_9,77,-1.0,1.0,3,Yes
77_Yes_Network_10,77,-1.0,1.0,3,Yes
77_Yes_Network_11,77,-0.9995411090987596,0.9375966666666666,3,Yes
77_Yes_Network_12,77,-0.999524883874832,0.93686,3,Yes
77_Yes_Network_13,77,-1.0,1.0,3,Yes
77_Yes_Network_14,77,-0.9998068359114174,0.9534466666666666,3,Yes
77_Yes_Network_15,77,-1.0,1.0,3,Yes
77_Yes_Network_16,77,-0.9999389930828928,0.96843,3,Yes
77_Yes_Network_17,77,-1.0,1.0,3,Yes
77_Yes_Network_18,77,-0.9997823067383153,0.95152,3,Yes
77_Yes_Network_19,77,-0.9999405475172828,0.9687033333333332,3,Yes
77_Yes_Network_20,77,-1.0,1.0,3,Yes
77_Yes_Network_21,77,-1.0,1.0,3,Yes
77_Yes_Network_22,77,-0.99853400424654,0.90736,3,Yes
77_Yes_Network_23,77,-1.0,0.8910966666666666,3,Yes
77_Yes_Network_24,77,-1.0,1.0,3,Yes
77_Yes_Network_25,77,-1.0,1.0,3,Yes
77_Yes_Network_26,77,-0.9999411561056922,0.9688066666666668,3,Yes
77_Yes_Network_27,77,-1.0,1.0,3,Yes
77_Yes_Network_28,77,-1.0,0.93804,3,Yes
77_Yes_Network_29,77,-1.0,1.0,3,Yes
77_Yes_Network_30,77,-0.9998270933022064,0.95516,3,Yes
77_Yes_Network_31,77,-1.0,0.9473833333333332,3,Yes
77_Yes_Network_32,77,-0.9995325051256732,0.9371966666666663,3,Yes
77_Yes_Network_33,77,-1.0,1.0,3,Yes
77_Yes_Network_34,77,-1.0,0.9275366666666666,3,Yes
77_Yes_Network_35,77,-1.0,1.0,3,Yes
