index,Core Density,CC AB,F1,Self Activation Status,Impurity
80_With Self Activation_Network_0,80,-0.9999906963279684,0.9837366666666668,With Self Activation,0.0
80_With Self Activation_Network_1,80,-1.0,1.0,With Self Activation,0.0
80_With Self Activation_Network_2,80,-0.9999999469198668,0.9970133333333332,With Self Activation,0.0
80_With Self Activation_Network_3,80,-0.999999954413643,0.99716,With Self Activation,0.0
80_With Self Activation_Network_4,80,-1.0,1.0,With Self Activation,0.0
80_With Self Activation_Network_5,80,-0.9999930261316252,0.9856733333333332,With Self Activation,0.0
80_With Self Activation_Network_6,80,-1.0,1.0,With Self Activation,0.0
80_With Self Activation_Network_7,80,-1.0,1.0,With Self Activation,0.0
80_With Self Activation_Network_8,80,-1.0,1.0,With Self Activation,0.0
80_With Self Activation_Network_9,80,-0.9999999502371922,0.9970766666666664,With Self Activation,0.0
80_With Self Activation_Network_10,80,-0.9999972652225446,0.9888566666666668,With Self Activation,0.0
80_With Self Activation_Network_11,80,-0.9999982905316588,0.9904766666666664,With Self Activation,0.0
80_With Self Activation_Network_12,80,-0.9999999681128432,0.99748,With Self Activation,0.0
80_With Self Activation_Network_13,80,-0.999999713490826,0.9947566666666666,With Self Activation,0.0
80_With Self Activation_Network_14,80,-0.9999986847725668,0.9917666666666668,With Self Activation,0.0
80_With Self Activation_Network_15,80,-1.0,1.0,With Self Activation,0.0
80_With Self Activation_Network_16,80,-1.0,1.0,With Self Activation,0.0
80_With Self Activation_Network_17,80,-0.9999996073868654,0.9941733333333334,With Self Activation,0.0
80_With Self Activation_Network_18,80,-1.0,1.0,With Self Activation,0.0
80_With Self Activation_Network_19,80,-0.9999996666362612,0.9944833333333332,With Self Activation,0.0
80_With Self Activation_Network_20,80,-0.9999993667961856,0.9931666666666666,With Self Activation,0.0
80_With Self Activation_Network_21,80,-0.9999982623271628,0.9910466666666666,With Self Activation,0.0
80_With Self Activation_Network_22,80,-1.0,1.0,With Self Activation,0.0
80_With Self Activation_Network_23,80,-0.9999995680207466,0.9939866666666668,With Self Activation,0.0
80_With Self Activation_Network_24,80,-0.999999985131196,0.9980466666666664,With Self Activation,0.0
80_With Self Activation_Network_25,80,-1.0,0.9968633333333332,With Self Activation,0.0
80_With Self Activation_Network_26,80,-0.9999999048940302,0.99637,With Self Activation,0.0
80_With Self Activation_Network_27,80,-0.9999993153282482,0.9934133333333331,With Self Activation,0.0
80_With Self Activation_Network_28,80,-0.999929282407572,0.9684866666666666,With Self Activation,0.0
80_With Self Activation_Network_29,80,-1.0,1.0,With Self Activation,0.0
80_With Self Activation_Network_30,80,-1.0,0.9999999999999998,With Self Activation,0.0
80_With Self Activation_Network_31,80,-1.0,1.0,With Self Activation,0.0
80_With Self Activation_Network_32,80,-0.9999965651432292,0.9888266666666664,With Self Activation,0.0
80_With Self Activation_Network_33,80,-0.9999999451368656,0.99698,With Self Activation,0.0
80_With Self Activation_Network_34,80,-1.0,1.0,With Self Activation,0.0
80_With Self Activation_Network_35,80,-0.999994931620046,0.9838266666666666,With Self Activation,0.0
80_With Self Activation_Network_36,80,-0.9999908042250488,0.9811333333333332,With Self Activation,0.0
80_With Self Activation_Network_37,80,-1.0,1.0,With Self Activation,0.0
80_With Self Activation_Network_38,80,-1.0,1.0,With Self Activation,0.0
80_With Self Activation_Network_39,80,-1.0,1.0,With Self Activation,0.0
80_With Self Activation_Network_40,80,-1.0,1.0,With Self Activation,0.0
80_With Self Activation_Network_41,80,-0.9999857638573332,0.9814033333333332,With Self Activation,0.0
80_With Self Activation_Network_42,80,-0.9999999661421004,0.99743,With Self Activation,0.0
80_With Self Activation_Network_43,80,-0.9998592470586964,0.9569433333333331,With Self Activation,0.0
80_With Self Activation_Network_44,80,-0.999923456847784,0.9673333333333334,With Self Activation,0.0
80_With Self Activation_Network_45,80,-1.0,0.9999999999999998,With Self Activation,0.0
80_With Self Activation_Network_46,80,-1.0,1.0,With Self Activation,0.0
80_With Self Activation_Network_47,80,-0.9999998554872505,0.9961266666666666,With Self Activation,0.0
80_With Self Activation_Network_48,80,-1.0,1.0,With Self Activation,0.0
80_With Self Activation_Network_49,80,-0.9999998172287484,0.9954866666666666,With Self Activation,0.0
80_With Self Activation_Network_50,80,-1.0,1.0,With Self Activation,0.0
80_With Self Activation_Network_51,80,-1.0,1.0,With Self Activation,0.0
80_With Self Activation_Network_52,80,-1.0,1.0,With Self Activation,0.0
80_With Self Activation_Network_53,80,-0.999999598705264,0.9941266666666666,With Self Activation,0.0
80_With Self Activation_Network_54,80,-1.0,1.0,With Self Activation,0.0
80_With Self Activation_Network_55,80,-1.0,1.0,With Self Activation,0.0
80_With Self Activation_Network_56,80,-1.0,1.0,With Self Activation,0.0
80_With Self Activation_Network_57,80,-0.9999865686988052,0.98225,With Self Activation,0.0
80_With Self Activation_Network_58,80,-0.9999983297416002,0.99072,With Self Activation,0.0
80_With Self Activation_Network_59,80,-1.0,1.0,With Self Activation,0.0
80_With Self Activation_Network_60,80,-0.999996415439527,0.9877966666666668,With Self Activation,0.0
80_With Self Activation_Network_61,80,-0.9999995966148174,0.9945433333333332,With Self Activation,0.0
80_With Self Activation_Network_62,80,-0.9999964363892808,0.9885166666666666,With Self Activation,0.0
80_With Self Activation_Network_63,80,-0.9999932003432648,0.98211,With Self Activation,0.0
80_With Self Activation_Network_64,80,-0.9999993981545084,0.99328,With Self Activation,0.0
80_With Self Activation_Network_65,80,-0.9999844587814756,0.9808433333333332,With Self Activation,0.0
80_With Self Activation_Network_66,80,-1.0,1.0,With Self Activation,0.0
80_With Self Activation_Network_67,80,-1.0,0.9949966666666664,With Self Activation,0.0
80_With Self Activation_Network_68,80,-1.0,1.0,With Self Activation,0.0
80_With Self Activation_Network_69,80,-0.9999959710033308,0.98784,With Self Activation,0.0
80_With Self Activation_Network_70,80,-1.0,1.0,With Self Activation,0.0
80_With Self Activation_Network_71,80,-0.9999973698090396,0.9892066666666666,With Self Activation,0.0
80_With Self Activation_Network_72,80,-0.9999999207837438,0.9965833333333332,With Self Activation,0.0
80_With Self Activation_Network_73,80,-0.9999999691314064,0.9975066666666664,With Self Activation,0.0
80_With Self Activation_Network_74,80,-0.999992324955634,0.98295,With Self Activation,0.0
80_With Self Activation_Network_75,80,-1.0,1.0,With Self Activation,0.0
80_With Self Activation_Network_76,80,-0.9999998992024182,0.9963,With Self Activation,0.0
80_With Self Activation_Network_77,80,-0.9999973876245376,0.9896933333333332,With Self Activation,0.0
80_With Self Activation_Network_78,80,-1.0,1.0,With Self Activation,0.0
80_With Self Activation_Network_79,80,-1.0,1.0,With Self Activation,0.0
80_With Self Activation_Network_80,80,-0.9999999174654944,0.99654,With Self Activation,0.0
80_With Self Activation_Network_81,80,-0.9999993387507472,0.9930666666666664,With Self Activation,0.0
80_With Self Activation_Network_82,80,-0.999999943818048,0.9969566666666668,With Self Activation,0.0
80_With Self Activation_Network_83,80,-0.9999786992398764,0.97901,With Self Activation,0.0
80_With Self Activation_Network_84,80,-1.0,1.0,With Self Activation,0.0
