index,Core Density,CC AB,F1,Self Activation Status,Impurity
100_With Self Activation_Network_0,100,-0.9665583622113576,0.7539433333333334,With Self Activation,0.0
100_With Self Activation_Network_0,100,-0.9423565555859014,0.6783033333333333,With Self Activation,20.0
100_With Self Activation_Network_1,100,-0.9179826982694153,0.4932666666666666,With Self Activation,20.0
100_With Self Activation_Network_2,100,-0.9982371581500932,0.89291,With Self Activation,20.0
100_With Self Activation_Network_3,100,-0.9114321272900678,0.7149866666666667,With Self Activation,20.0
100_With Self Activation_Network_4,100,-1.0,0.9447733333333332,With Self Activation,20.0
100_With Self Activation_Network_5,100,-0.9982989343121886,0.8831566666666667,With Self Activation,20.0
100_With Self Activation_Network_6,100,-0.9416436241432014,0.4444399999999999,With Self Activation,20.0
100_With Self Activation_Network_7,100,-0.990693099141308,0.7877866666666666,With Self Activation,20.0
100_With Self Activation_Network_8,100,-0.9868899164521664,0.7369599999999998,With Self Activation,20.0
100_With Self Activation_Network_9,100,-0.9982844006654468,0.8544633333333334,With Self Activation,20.0
100_With Self Activation_Network_10,100,-0.8959951193400275,0.4459466666666666,With Self Activation,20.0
100_With Self Activation_Network_11,100,-0.9956178828351168,0.8667099999999999,With Self Activation,20.0
100_With Self Activation_Network_12,100,-0.9718667929365664,0.6884033333333333,With Self Activation,20.0
100_With Self Activation_Network_13,100,-0.9294437112460932,0.71697,With Self Activation,20.0
100_With Self Activation_Network_14,100,-0.9960168885681634,0.89803,With Self Activation,20.0
100_With Self Activation_Network_15,100,-1.0,0.8124166666666667,With Self Activation,20.0
100_With Self Activation_Network_16,100,-0.906165140946664,0.5335766666666666,With Self Activation,20.0
100_With Self Activation_Network_17,100,-0.837811324032787,0.3913433333333332,With Self Activation,20.0
100_With Self Activation_Network_18,100,-0.926989647815338,0.6546799999999999,With Self Activation,20.0
100_With Self Activation_Network_19,100,-0.9999909862037456,0.97843,With Self Activation,20.0
100_With Self Activation_Network_20,100,-0.9111573452381424,0.53897,With Self Activation,20.0
100_With Self Activation_Network_21,100,-0.9865489857112258,0.7754566666666667,With Self Activation,20.0
100_With Self Activation_Network_22,100,-0.900935019033453,0.5732099999999999,With Self Activation,20.0
100_With Self Activation_Network_23,100,-0.9728718812178432,0.84189,With Self Activation,20.0
100_With Self Activation_Network_24,100,-0.8457809555539049,0.4443099999999998,With Self Activation,20.0
100_With Self Activation_Network_25,100,-0.9048663171881718,0.6031466666666666,With Self Activation,20.0
100_With Self Activation_Network_26,100,-0.994651014179738,0.80107,With Self Activation,20.0
100_With Self Activation_Network_27,100,-0.9616084917673208,0.7231066666666666,With Self Activation,20.0
100_With Self Activation_Network_28,100,-0.900744315634696,0.5287333333333333,With Self Activation,20.0
100_With Self Activation_Network_29,100,-0.9974868739007736,0.4612633333333332,With Self Activation,20.0
100_With Self Activation_Network_30,100,-0.999985619744998,0.8924866666666667,With Self Activation,20.0
100_With Self Activation_Network_31,100,-0.9876156331264658,0.8058966666666667,With Self Activation,20.0
100_With Self Activation_Network_32,100,-0.9564974978585165,0.7613999999999999,With Self Activation,20.0
100_With Self Activation_Network_33,100,-0.9985719824432848,0.8480500000000001,With Self Activation,20.0
100_With Self Activation_Network_34,100,-0.9979987548710048,0.8562166666666666,With Self Activation,20.0
100_With Self Activation_Network_35,100,-0.99864437684133,0.90844,With Self Activation,20.0
100_With Self Activation_Network_36,100,-0.9960131544764746,0.8096866666666667,With Self Activation,20.0
100_With Self Activation_Network_37,100,-0.9996652973745828,0.9390066666666664,With Self Activation,20.0
100_With Self Activation_Network_38,100,-0.917084807452048,0.5155066666666666,With Self Activation,20.0
100_With Self Activation_Network_39,100,-0.9922647176338428,0.8174366666666666,With Self Activation,20.0
100_With Self Activation_Network_40,100,-0.999885445276446,0.9498,With Self Activation,20.0
100_With Self Activation_Network_41,100,-0.9181798696305352,0.5417933333333333,With Self Activation,20.0
100_With Self Activation_Network_42,100,-0.9999573486593843,0.9720166666666664,With Self Activation,20.0
100_With Self Activation_Network_43,100,-0.8912704015390671,0.58324,With Self Activation,20.0
100_With Self Activation_Network_44,100,-1.0,1.0,With Self Activation,20.0
100_With Self Activation_Network_45,100,-0.9349508359654588,0.4736699999999999,With Self Activation,20.0
100_With Self Activation_Network_46,100,-0.9726550569619136,0.8799066666666666,With Self Activation,20.0
100_With Self Activation_Network_47,100,-0.9807655942966436,0.6759799999999998,With Self Activation,20.0
100_With Self Activation_Network_48,100,-0.9344094069013832,0.7658566666666666,With Self Activation,20.0
100_With Self Activation_Network_49,100,-0.9898651167518596,0.8855533333333333,With Self Activation,20.0
100_With Self Activation_Network_50,100,-0.9153148429071162,0.57765,With Self Activation,20.0
100_With Self Activation_Network_51,100,-0.9999594487621136,0.93058,With Self Activation,20.0
100_With Self Activation_Network_52,100,-0.9994050104571112,0.9318533333333332,With Self Activation,20.0
100_With Self Activation_Network_53,100,-0.95016214823032,0.6734533333333335,With Self Activation,20.0
100_With Self Activation_Network_54,100,-0.9057014503563916,0.5524266666666666,With Self Activation,20.0
100_With Self Activation_Network_55,100,-0.9275266994890224,0.6473966666666666,With Self Activation,20.0
100_With Self Activation_Network_56,100,-0.9421722639077924,0.6286966666666667,With Self Activation,20.0
100_With Self Activation_Network_57,100,-0.9830687908045812,0.86992,With Self Activation,20.0
100_With Self Activation_Network_58,100,-0.9410795289463374,0.7581899999999999,With Self Activation,20.0
100_With Self Activation_Network_59,100,-0.924559552801326,0.67309,With Self Activation,20.0
100_With Self Activation_Network_60,100,-0.903015311697382,0.41303,With Self Activation,20.0
100_With Self Activation_Network_61,100,-0.9893764288712072,0.7906299999999999,With Self Activation,20.0
100_With Self Activation_Network_62,100,-0.997526647801811,0.8399699999999999,With Self Activation,20.0
100_With Self Activation_Network_63,100,-0.9223936271491144,0.7118833333333332,With Self Activation,20.0
