index,Core Density,CC AB,F1,Team_Strength,Team Size,Impurity,Indegree_Team_A,Indegree_Team_B,Outdegree_Team_A,Outdegree_Team_B,External Network Density
TS_1_embed_P30N_C2N_trial_0,100.0,0.041042348754439,0.4836266666666609,0.1175,1,0.0,17.0,17.0,8.0,8.0,5.766666666666667
TS_1_embed_P30N_C2N_trial_1,100.0,-0.3416241575465308,0.689686666666655,0.185,1,0.0,9.0,9.0,7.0,7.0,7.7
TS_1_embed_P30N_C2N_trial_2,100.0,-0.9645592077845704,0.9770299999999914,0.1625,1,0.0,10.0,10.0,10.0,10.0,6.9
TS_1_embed_P30N_C2N_trial_3,100.0,-0.2185283428886944,0.6517466666666621,0.1325,1,0.0,16.0,16.0,9.0,9.0,9.3
TS_1_embed_P30N_C2N_trial_4,100.0,-0.44786353149153,0.7239566666666574,0.3125,1,0.0,2.0,2.0,7.0,7.0,2.3
TS_1_embed_P30N_C2N_trial_5,100.0,-0.4542190826343238,0.6830933333333205,0.165,1,0.0,16.0,16.0,3.0,3.0,9.033333333333331
TS_1_embed_P30N_C2N_trial_6,100.0,0.5956002953305655,0.2432299999999957,0.1425,1,0.0,19.0,19.0,13.0,13.0,6.966666666666667
TS_1_embed_P30N_C2N_trial_7,100.0,-0.0748165290467712,0.5395666666666548,0.125,1,0.0,20.0,20.0,16.0,16.0,3.7
TS_1_embed_P30N_C2N_trial_8,100.0,-0.9408580902768082,0.9556633333333248,0.1975,1,0.0,6.0,6.0,12.0,12.0,9.9
TS_1_embed_P30N_C2N_trial_9,100.0,-0.9663150432413236,0.9506633333333278,0.2075,1,0.0,14.0,14.0,7.0,7.0,4.266666666666667
TS_1_embed_P30N_C2N_trial_10,100.0,0.6852382022297977,0.2632266666666606,0.0825,1,0.0,20.0,20.0,16.0,16.0,5.4
TS_1_embed_P30N_C2N_trial_11,100.0,-0.7719845994347093,0.861979999999989,0.2025,1,0.0,6.0,6.0,10.0,10.0,9.866666666666667
TS_1_embed_P30N_C2N_trial_12,100.0,0.1872904150584866,0.4524999999999822,0.145,1,0.0,9.0,9.0,7.0,7.0,2.3666666666666667
TS_1_embed_P30N_C2N_trial_13,100.0,-0.6123053741725929,0.7780399999999771,0.24,1,0.0,4.0,4.0,1.0,1.0,5.966666666666667
TS_1_embed_P30N_C2N_trial_14,100.0,-0.3593560256779041,0.6943599999999924,0.2525,1,0.0,4.0,4.0,4.0,4.0,8.266666666666667
TS_1_embed_P30N_C2N_trial_15,100.0,-0.6658723830392023,0.8094899999999927,0.0925,1,0.0,13.0,13.0,7.0,7.0,1.9333333333333331
TS_1_embed_P30N_C2N_trial_16,100.0,-0.8454804706540225,0.9238733333333264,0.2075,1,0.0,3.0,3.0,8.0,8.0,6.566666666666666
TS_1_embed_P30N_C2N_trial_17,100.0,0.0464899050495599,0.480636666666656,0.155,1,0.0,17.0,17.0,6.0,6.0,7.2
TS_1_embed_P30N_C2N_trial_18,100.0,0.0758381791848493,0.4622666666666645,0.195,1,0.0,8.0,8.0,14.0,14.0,2.3
TS_1_embed_P30N_C2N_trial_19,100.0,0.1530991596615911,0.4714899999999908,0.22,1,0.0,10.0,10.0,6.0,6.0,7.266666666666667
TS_1_embed_P30N_C2N_trial_20,100.0,-0.2873936914215729,0.6417866666666583,0.185,1,0.0,10.0,10.0,7.0,7.0,5.933333333333334
TS_1_embed_P30N_C2N_trial_21,100.0,-0.9886052028110548,0.9942399999999848,0.35,1,0.0,4.0,4.0,17.0,17.0,2.033333333333333
TS_1_embed_P30N_C2N_trial_22,100.0,-0.8998465457519355,0.8704733333333211,0.235,1,0.0,15.0,15.0,2.0,2.0,6.366666666666666
TS_1_embed_P30N_C2N_trial_23,100.0,0.4652502429729602,0.2679166666666573,0.235,1,0.0,16.0,16.0,3.0,3.0,2.333333333333333
TS_1_embed_P30N_C2N_trial_24,100.0,0.0639757582403389,0.4965433333333224,0.1725,1,0.0,14.0,14.0,15.0,15.0,5.9
TS_1_embed_P30N_C2N_trial_25,100.0,-0.4094068036937199,0.7204166666666572,0.2324999999999999,1,0.0,7.0,7.0,4.0,4.0,9.3
TS_1_embed_P30N_C2N_trial_26,100.0,-0.8351023348029231,0.8621233333333105,0.1075,1,0.0,16.0,16.0,8.0,8.0,3.1666666666666665
TS_1_embed_P30N_C2N_trial_27,100.0,-0.9853587861831892,0.9919299999999944,0.3275,1,0.0,8.0,8.0,4.0,4.0,4.666666666666667
TS_1_embed_P30N_C2N_trial_28,100.0,-0.9488256603462272,0.9841233333333064,0.285,1,0.0,1.0,1.0,9.0,9.0,7.0
TS_1_embed_P30N_C2N_trial_29,100.0,0.5724822936083709,0.4758199999999963,0.07,1,0.0,13.0,13.0,20.0,20.0,8.466666666666667
TS_1_embed_P30N_C2N_trial_30,100.0,0.8908609765751644,0.1166133333333309,0.095,1,0.0,13.0,13.0,10.0,10.0,4.666666666666667
