index,Type,Core_Density,BiC A,BiC B,CC AB,F1,F1_Individual_Nodes_Considered,Team_Strength,Number_of_Self_Activations,Self Activation Status,Team Size
Density 20%_Without Self Activation_Network_0,Lowered Density,Density 20%,0.485335231081773,0.4860475940602745,-0.8575089359065221,0.2882496155817529,0.0306893900563813,0.1,0,Without Self Activation,5.0
Density 20%_Without Self Activation_Network_1,Lowered Density,Density 20%,0.4349220124487475,0.4353355189382753,-0.8330148658974235,0.2678641667759276,0.0321227219090074,0.1,0,Without Self Activation,5.0
Density 20%_Without Self Activation_Network_2,Lowered Density,Density 20%,0.5260916744825452,0.5345712606775694,-0.8883707166964409,0.3667910744064163,0.0447867863098546,0.1,0,Without Self Activation,5.0
Density 20%_Without Self Activation_Network_3,Lowered Density,Density 20%,0.5274989938768674,0.5322427604139293,-0.8851530441307772,0.3690590111642743,0.0443381180223285,0.1,0,Without Self Activation,5.0
Density 20%_Without Self Activation_Network_4,Lowered Density,Density 20%,0.4208784727047059,0.4211923975798412,-0.8153296520964824,0.208526139608152,0.019986216402481,0.1,0,Without Self Activation,5.0
Density 20%_Without Self Activation_Network_5,Lowered Density,Density 20%,0.5294664356889696,0.5275312852204186,-0.887639247643323,0.3622557937198449,0.0442141896701732,0.1,0,Without Self Activation,5.0
Density 20%_Without Self Activation_Network_6,Lowered Density,Density 20%,0.4781034246912479,0.48723538361789,-0.8599420584120927,0.2898541453428864,0.0288510747185261,0.1,0,Without Self Activation,5.0
Density 20%_Without Self Activation_Network_7,Lowered Density,Density 20%,0.4843593890830242,0.4873411577457776,-0.8571203383786332,0.2834330067438605,0.0309835856979259,0.1,0,Without Self Activation,5.0
Density 20%_Without Self Activation_Network_8,Lowered Density,Density 20%,0.433365467224679,0.4385059373893588,-0.8340889243372286,0.2696977695657912,0.0325986538207733,0.1,0,Without Self Activation,5.0
Density 20%_Without Self Activation_Network_9,Lowered Density,Density 20%,0.4804540718453496,0.4857993345268839,-0.8544700809050786,0.2863725304550906,0.0310547244839992,0.1,0,Without Self Activation,5.0
Density 20%_Without Self Activation_Network_10,Lowered Density,Density 20%,0.5184449090243101,0.5351869281778946,-0.8881817568025658,0.3683541285861877,0.0425176825876182,0.1,0,Without Self Activation,5.0
Density 20%_Without Self Activation_Network_11,Lowered Density,Density 20%,0.5414872213338682,0.5572492230762242,-0.9049899442030148,0.4468400751656611,0.0601325289288893,0.1,0,Without Self Activation,5.0
Density 20%_Without Self Activation_Network_12,Lowered Density,Density 20%,0.4708230804794448,0.4750058981207936,-0.8586049423623077,0.354909582558729,0.0502788575291532,0.1,0,Without Self Activation,5.0
Density 20%_Without Self Activation_Network_13,Lowered Density,Density 20%,0.4623196002769054,0.4798442920955693,-0.8583228820476978,0.3565173029504294,0.0524615253804948,0.1,0,Without Self Activation,5.0
Density 20%_Without Self Activation_Network_14,Lowered Density,Density 20%,0.4825824742558868,0.4894587839522242,-0.8555352976499324,0.286473827457434,0.0285461105133236,0.1,0,Without Self Activation,5.0
