index,Core Density,CC AB,F1,Number_of_Self_Activations,Self Activation Status
20_Without Self Activation_Network_0,20,-1.0,0.2500033333333333,0,Without Self Activation
20_Without Self Activation_Network_1,20,-1.0,0.2497099999999999,0,Without Self Activation
20_Without Self Activation_Network_2,20,-1.0,0.4982533333333333,0,Without Self Activation
20_Without Self Activation_Network_3,20,-1.0,0.4991966666666666,0,Without Self Activation
20_Without Self Activation_Network_4,20,-1.0,0.1244933333333332,0,Without Self Activation
20_Without Self Activation_Network_5,20,-1.0,0.5011966666666667,0,Without Self Activation
20_Without Self Activation_Network_6,20,-1.0,0.24852,0,Without Self Activation
20_Without Self Activation_Network_7,20,-1.0,0.2511233333333332,0,Without Self Activation
20_Without Self Activation_Network_8,20,-1.0,0.2500333333333332,0,Without Self Activation
20_Without Self Activation_Network_9,20,-1.0,0.2502033333333332,0,Without Self Activation
20_Without Self Activation_Network_10,20,-1.0,0.4999233333333333,0,Without Self Activation
20_Without Self Activation_Network_11,20,-1.0,0.9999366666666666,0,Without Self Activation
20_Without Self Activation_Network_12,20,-1.0,0.50084,0,Without Self Activation
20_Without Self Activation_Network_13,20,-1.0,0.4984699999999998,0,Without Self Activation
20_Without Self Activation_Network_14,20,-1.0,0.2491366666666666,0,Without Self Activation
20_Without Self Activation_Network_15,20,-1.0,0.2506099999999999,0,Without Self Activation
20_Without Self Activation_Network_16,20,-1.0,0.24917,0,Without Self Activation
20_Without Self Activation_Network_17,20,-1.0,0.1259866666666665,0,Without Self Activation
20_Without Self Activation_Network_18,20,-1.0,0.5012133333333333,0,Without Self Activation
20_Without Self Activation_Network_19,20,-1.0,0.2509333333333332,0,Without Self Activation
20_Without Self Activation_Network_20,20,-1.0,0.2506666666666665,0,Without Self Activation
20_Without Self Activation_Network_21,20,-1.0,0.1246166666666666,0,Without Self Activation
20_Without Self Activation_Network_22,20,-1.0,0.2499599999999999,0,Without Self Activation
20_Without Self Activation_Network_23,20,-1.0,0.4999733333333332,0,Without Self Activation
20_Without Self Activation_Network_24,20,-1.0,0.1246566666666666,0,Without Self Activation
20_Without Self Activation_Network_25,20,-1.0,0.2511599999999999,0,Without Self Activation
20_Without Self Activation_Network_26,20,-1.0,0.4978433333333333,0,Without Self Activation
20_Without Self Activation_Network_27,20,-1.0,0.9999566666666666,0,Without Self Activation
20_Without Self Activation_Network_28,20,-1.0,0.5009233333333333,0,Without Self Activation
20_Without Self Activation_Network_29,20,-1.0,0.2502899999999999,0,Without Self Activation
20_Without Self Activation_Network_30,20,-1.0,0.2491033333333331,0,Without Self Activation
20_Without Self Activation_Network_31,20,-1.0,0.5002533333333332,0,Without Self Activation
20_Without Self Activation_Network_32,20,-1.0,0.4985333333333333,0,Without Self Activation
20_Without Self Activation_Network_33,20,-1.0,0.4990066666666666,0,Without Self Activation
20_Without Self Activation_Network_34,20,-1.0,0.4990533333333332,0,Without Self Activation
20_Without Self Activation_Network_35,20,-1.0,0.5013266666666666,0,Without Self Activation
20_Without Self Activation_Network_36,20,-1.0,0.2503999999999999,0,Without Self Activation
