index,Type,Core_Density,BiC A,BiC B,CC AB,F1,F1_Individual_Nodes_Considered,Team_Strength,Self Activation Status,Team Size
Density 20%_With Self Activation_Network_0,Lowered Density,Density 20%,0.6473401818803475,0.6685785141324431,-0.950908020174674,0.6520446356735579,0.2429425962850246,0.802,With Self Activation,5.0
Density 20%_With Self Activation_Network_1,Lowered Density,Density 20%,0.705668615804055,0.711769012261379,-0.9464928646383526,0.7219127205199629,0.2763463324048282,0.8260000000000001,With Self Activation,5.0
Density 20%_With Self Activation_Network_2,Lowered Density,Density 20%,0.656287044710547,0.6756760557184418,-0.9494613165577434,0.6671127231749833,0.2511885058280804,0.7889999999999999,With Self Activation,5.0
Density 20%_With Self Activation_Network_3,Lowered Density,Density 20%,0.6498204566317942,0.6611502424425576,-0.952077192211931,0.6663599149557325,0.2108336242185764,0.769,With Self Activation,5.0
Density 20%_With Self Activation_Network_4,Lowered Density,Density 20%,0.5699626101018938,0.5692691219955229,-0.9414262486335692,0.5434736902463733,0.1060226686289875,0.5630000000000001,With Self Activation,5.0
Density 20%_With Self Activation_Network_5,Lowered Density,Density 20%,0.6913546461184777,0.6790362028026327,-0.9478560754010104,0.6875590179414542,0.2932011331444759,0.7810000000000001,With Self Activation,5.0
Density 20%_With Self Activation_Network_6,Lowered Density,Density 20%,0.7336692652428951,0.7417836226641583,-0.9414224476201768,0.7578731077284354,0.2921541493688933,0.8170000000000002,With Self Activation,5.0
Density 20%_With Self Activation_Network_7,Lowered Density,Density 20%,0.5548868922658994,0.5431266952640849,-0.9446979705179376,0.5028256536522453,0.148880290772658,0.784,With Self Activation,5.0
Density 20%_With Self Activation_Network_8,Lowered Density,Density 20%,0.6676729469479135,0.6725681453292114,-0.9494606905128236,0.6458261912924237,0.335575934178951,0.792,With Self Activation,5.0
Density 20%_With Self Activation_Network_9,Lowered Density,Density 20%,0.5678353762926315,0.5549041734751781,-0.942831498003736,0.5215579383672734,0.1419174626058749,0.8029999999999999,With Self Activation,5.0
Density 20%_With Self Activation_Network_10,Lowered Density,Density 20%,0.6181232375175295,0.6089383059018375,-0.9442974915505647,0.6162406160233664,0.146257271827552,0.5700000000000001,With Self Activation,5.0
Density 20%_With Self Activation_Network_11,Lowered Density,Density 20%,0.5778440704270906,0.5708318006270119,-0.9476906528064202,0.5514550300898574,0.1621005193591822,0.7829999999999999,With Self Activation,5.0
Density 20%_With Self Activation_Network_12,Lowered Density,Density 20%,0.8008695837641472,0.7988392560049067,-0.9226106024323756,0.8275132795593154,0.3639091087940193,0.8160000000000001,With Self Activation,5.0
Density 20%_With Self Activation_Network_13,Lowered Density,Density 20%,0.7092959297953961,0.7166723830589072,-0.9436618188496876,0.727540684158087,0.3110262371305214,0.8110000000000002,With Self Activation,5.0
Density 20%_With Self Activation_Network_14,Lowered Density,Density 20%,0.589225243822081,0.5955664376794914,-0.9428287105088392,0.5476562830212605,0.1206517604294348,0.5630000000000001,With Self Activation,5.0
