index,Type,Core_Density,Peripheral_Nodes,BiC A,BiC B,CC AB,F1 (Average),F1 (Strict),Team Strength,Team Size,Percentage_Impurity
0Indegree80% Density_0 Nodes_0 Edges_0,Lowered Density,80% Density,0 Nodes,0.4714959847514933,0.4672952127440952,0.8524581005248292,6.133464180569185e-05,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_1,Lowered Density,80% Density,0 Nodes,0.4607282094499669,0.4920411128171662,0.82950540802092,0.0001533663923112,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_2,Lowered Density,80% Density,0 Nodes,0.4792370389310699,0.4483401331678676,0.8247556758806177,0.0001526764176005,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_3,Lowered Density,80% Density,0 Nodes,0.5362014131777405,0.5245655842838823,0.8409316516631958,0.0,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_4,Lowered Density,80% Density,0 Nodes,0.4410361208982288,0.4509468130030167,0.7972980430858394,2.5420712796786826e-05,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_5,Lowered Density,80% Density,0 Nodes,0.4426326078227732,0.4216697245802129,0.7860463156687002,0.0001673400109966,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_6,Lowered Density,80% Density,0 Nodes,0.4284845162815168,0.4098468964577992,0.8285499394973999,0.0,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_7,Lowered Density,80% Density,0 Nodes,0.4845699690986782,0.4830854967259633,0.8047815457934453,5.122819599907789e-05,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_8,Lowered Density,80% Density,0 Nodes,0.4433158259787587,0.4037065882108398,0.8209919143235881,0.0,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_9,Lowered Density,80% Density,0 Nodes,0.4170897907087068,0.4467871743926683,0.8047420092386142,0.0001089651039254,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_10,Lowered Density,80% Density,0 Nodes,0.4731688219597934,0.4806301142839734,0.8532240867224992,0.0002840666988608,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_11,Lowered Density,80% Density,0 Nodes,0.4652107395142414,0.4691545941316514,0.8159538796108998,8.633093525179857e-05,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_12,Lowered Density,80% Density,0 Nodes,0.4730285715119551,0.4930130360160594,0.8525956888374553,0.0,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_13,Lowered Density,80% Density,0 Nodes,0.4436350943034276,0.4414972618295938,0.818555711524107,2.758240242725141e-05,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_14,Lowered Density,80% Density,0 Nodes,0.5148462145824757,0.5484751760824025,0.863387606317822,0.0001235025318019,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_15,Lowered Density,80% Density,0 Nodes,0.3865523660382601,0.3936675942438058,0.7678051310969722,7.34717868338558e-05,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_16,Lowered Density,80% Density,0 Nodes,0.5171061960756543,0.4434370400528578,0.8298710600606825,0.0003572917286964,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_17,Lowered Density,80% Density,0 Nodes,0.4677899228811132,0.4837234106896248,0.8340946228959605,0.0001271746871502,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_18,Lowered Density,80% Density,0 Nodes,0.5044304795585117,0.4522974900643003,0.8257158376890334,0.0001981038630253,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_19,Lowered Density,80% Density,0 Nodes,0.4805097895746449,0.5230513287046881,0.8526895378680059,5.708088361207832e-05,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_20,Lowered Density,80% Density,0 Nodes,0.5328827310492782,0.5337376251465702,0.8580850976290756,2.923720141508055e-05,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_21,Lowered Density,80% Density,0 Nodes,0.4413063383803275,0.4252266117980646,0.7666717420698459,0.0003731923495568,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_22,Lowered Density,80% Density,0 Nodes,0.5235793563699445,0.5602476764542303,0.8549249473954371,8.77090398783768e-05,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_23,Lowered Density,80% Density,0 Nodes,0.4989144995596297,0.5121389194830038,0.8333091080924268,0.0002691862499663,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_24,Lowered Density,80% Density,0 Nodes,0.495398435886193,0.4579855741430297,0.8243729862569831,5.498735290883097e-05,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_25,Lowered Density,80% Density,0 Nodes,0.385177433386242,0.3789354987538187,0.7436695380174511,0.00066384736428,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_26,Lowered Density,80% Density,0 Nodes,0.5253620681542583,0.5080361590010511,0.856916274799499,0.0001361322116039,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_27,Lowered Density,80% Density,0 Nodes,0.5552107999461297,0.5497849862583334,0.8687559925563251,0.0,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_28,Lowered Density,80% Density,0 Nodes,0.5171277489695482,0.5233376749420161,0.876172609942677,0.0,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_29,Lowered Density,80% Density,0 Nodes,0.435131791313576,0.4721270843997124,0.8237819637876103,0.0,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_30,Lowered Density,80% Density,0 Nodes,0.5415488309334063,0.5287378734258978,0.8663067739700747,0.0001152372446774,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_31,Lowered Density,80% Density,0 Nodes,0.5249432207798854,0.4906395373626708,0.8390622262232263,2.663612391124844e-05,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_32,Lowered Density,80% Density,0 Nodes,0.5268350931789008,0.5005513238474485,0.8227568688721913,0.0003750180297129,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_33,Lowered Density,80% Density,0 Nodes,0.4304767270370583,0.4667808156268913,0.8207479124371628,5.668452229118839e-05,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_34,Lowered Density,80% Density,0 Nodes,0.4908473906474273,0.505493199167641,0.854067779513946,0.0,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_35,Lowered Density,80% Density,0 Nodes,0.4254560456298471,0.3932567701900154,0.7980185490154732,0.000151503673964,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_36,Lowered Density,80% Density,0 Nodes,0.4470909513653315,0.4209260095386312,0.792343943623976,4.569339730408956e-05,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_37,Lowered Density,80% Density,0 Nodes,0.4259842222001306,0.4534286162447222,0.840196041299246,0.0001130550295356,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_38,Lowered Density,80% Density,0 Nodes,0.4800441814972657,0.4727287112250807,0.8090938479041229,0.0002760697703601,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_39,Lowered Density,80% Density,0 Nodes,0.4282803445261561,0.4233702257323785,0.7887742685136098,2.5021268077866187e-05,0.0,0.02,5,100% Impurity
