index,Core Density,CC AB,F1,Team_Strength,Team Size,Impurity,Indegree_Team_A,Indegree_Team_B,Outdegree_Team_A,Outdegree_Team_B,External Network Density
Density_20_TS_5_embed_P30N_C10N_trial_0,20.0,-0.99996764735424,0.9934333333333084,0.084,5,0.0,5.0,5.0,30.0,30.0,8.533333333333333
Density_20_TS_5_embed_P30N_C10N_trial_1,20.0,0.3666971056961743,0.00059,0.0864,5,0.0,60.0,60.0,5.0,5.0,2.033333333333333
Density_20_TS_5_embed_P30N_C10N_trial_2,20.0,-0.90391723604157,0.0200066666666662,0.0271,5,0.0,55.0,55.0,95.0,95.0,3.566666666666667
Density_20_TS_5_embed_P30N_C10N_trial_3,20.0,-0.532577670349467,0.0128733333333333,0.033,5,0.0,80.0,80.0,60.0,60.0,7.2
Density_20_TS_5_embed_P30N_C10N_trial_4,20.0,-0.5150716134877844,0.0207166666666663,0.0324,5,0.0,15.0,15.0,50.0,50.0,3.8666666666666663
Density_20_TS_5_embed_P30N_C10N_trial_5,20.0,-0.6274372456927724,0.0108733333333333,0.0221,5,0.0,30.0,30.0,100.0,100.0,5.333333333333333
Density_20_TS_5_embed_P30N_C10N_trial_6,20.0,-0.9232757883180857,0.3198833333333294,0.0423,5,0.0,15.0,15.0,75.0,75.0,9.466666666666669
Density_20_TS_5_embed_P30N_C10N_trial_7,20.0,-0.5741899226768346,0.0283133333333328,0.0384,5,0.0,45.0,45.0,50.0,50.0,4.333333333333333
Density_20_TS_5_embed_P30N_C10N_trial_8,20.0,0.0308162681600416,0.0018266666666666,0.0343,5,0.0,100.0,100.0,35.0,35.0,7.366666666666666
Density_20_TS_5_embed_P30N_C10N_trial_9,20.0,-0.9213657888672953,0.6122133333333181,0.1,5,0.0,10.0,10.0,35.0,35.0,4.166666666666667
Density_20_TS_5_embed_P30N_C10N_trial_10,20.0,-0.7159132648628871,0.0219533333333328,0.0361999999999999,5,0.0,90.0,90.0,50.0,50.0,3.5
Density_20_TS_5_embed_P30N_C10N_trial_11,20.0,-0.1077373581739308,0.0122966666666666,0.0409,5,0.0,90.0,90.0,35.0,35.0,9.633333333333333
Density_20_TS_5_embed_P30N_C10N_trial_12,20.0,-0.941628776409555,0.1835199999999942,0.0363,5,0.0,45.0,45.0,40.0,40.0,8.366666666666667
Density_20_TS_5_embed_P30N_C10N_trial_13,20.0,-0.4289806010880008,0.0199266666666664,0.0313,5,0.0,75.0,75.0,55.0,55.0,5.733333333333333
Density_20_TS_5_embed_P30N_C10N_trial_14,20.0,-0.6297148940726828,0.0136833333333332,0.07,5,0.0,30.0,30.0,10.0,10.0,8.1
Density_20_TS_5_embed_P30N_C10N_trial_15,20.0,-0.4436827035236966,0.0236666666666666,0.063,5,0.0,40.0,40.0,10.0,10.0,5.166666666666667
Density_20_TS_5_embed_P30N_C10N_trial_16,20.0,-0.8777081924147082,0.1310433333333301,0.0518,5,0.0,10.0,10.0,35.0,35.0,6.133333333333334
Density_20_TS_5_embed_P30N_C10N_trial_17,20.0,-0.3170073196694372,0.0059699999999997,0.038,5,0.0,80.0,80.0,90.0,90.0,2.8
Density_20_TS_5_embed_P30N_C10N_trial_18,20.0,-0.8028159330643412,0.1610499999999979,0.0428999999999999,5,0.0,15.0,15.0,85.0,85.0,3.7
Density_20_TS_5_embed_P30N_C10N_trial_19,20.0,-0.4995985087182233,0.0318133333333327,0.118,5,0.0,25.0,25.0,5.0,5.0,5.566666666666666
Density_20_TS_5_embed_P30N_C10N_trial_20,20.0,-0.9162242766857384,0.388269999999994,0.0445,5,0.0,10.0,10.0,85.0,85.0,9.5
Density_20_TS_5_embed_P30N_C10N_trial_21,20.0,-0.4187809497013248,0.0715833333333316,0.0442999999999999,5,0.0,70.0,70.0,5.0,5.0,9.6
