index,Core Density,CC AB,F1,Team_Strength,Team Size,Impurity,Indegree_Team_A,Indegree_Team_B,Outdegree_Team_A,Outdegree_Team_B,External Network Density
Impurity_00_TS_5_embed_P30N_C10N_trial_0,100.0,-1.0,0.9999466666666648,0.8642,5,0.0,15.0,15.0,15.0,15.0,2.7333333333333334
Impurity_00_TS_5_embed_P30N_C10N_trial_1,100.0,-0.999999999999309,0.9997866666666588,0.6326,5,0.0,25.0,25.0,25.0,25.0,4.866666666666666
Impurity_00_TS_5_embed_P30N_C10N_trial_2,100.0,-0.9999999999955436,0.9997133333333148,0.4035999999999999,5,0.0,40.0,40.0,40.0,40.0,6.933333333333334
Impurity_00_TS_5_embed_P30N_C10N_trial_3,100.0,-0.9999783800816502,0.9993933333333198,0.2987999999999999,5,0.0,55.0,55.0,55.0,55.0,9.633333333333333
Impurity_00_TS_5_embed_P30N_C10N_trial_4,100.0,-0.9901804126225572,0.9796099999999937,0.4381,5,0.0,40.0,40.0,40.0,40.0,7.2
Impurity_00_TS_5_embed_P30N_C10N_trial_5,100.0,-0.9990742087057856,0.9976933333333272,0.2967999999999999,5,0.0,55.0,55.0,55.0,55.0,9.266666666666667
Impurity_00_TS_5_embed_P30N_C10N_trial_6,100.0,-1.0,0.9999833333333248,0.445,5,0.0,40.0,40.0,40.0,40.0,7.066666666666666
Impurity_00_TS_5_embed_P30N_C10N_trial_7,100.0,-0.9999999999752396,0.9995666666666574,0.5832999999999999,5,0.0,30.0,30.0,30.0,30.0,5.3
Impurity_00_TS_5_embed_P30N_C10N_trial_8,100.0,-1.0,0.9998999999999852,0.349,5,0.0,45.0,45.0,45.0,45.0,8.066666666666666
Impurity_00_TS_5_embed_P30N_C10N_trial_9,100.0,-0.999953225672453,0.9997599999999888,0.5636,5,0.0,30.0,30.0,30.0,30.0,5.6
Impurity_00_TS_5_embed_P30N_C10N_trial_10,100.0,-0.9999999998174068,0.998986666666644,0.3693000000000001,5,0.0,45.0,45.0,45.0,45.0,8.433333333333334
Impurity_00_TS_5_embed_P30N_C10N_trial_11,100.0,-1.0,0.9999466666666624,0.3707,5,0.0,45.0,45.0,45.0,45.0,7.966666666666667
Impurity_00_TS_5_embed_P30N_C10N_trial_12,100.0,-0.998526950119838,0.9962733333333308,0.4368,5,0.0,35.0,35.0,35.0,35.0,6.533333333333333
Impurity_00_TS_5_embed_P30N_C10N_trial_13,100.0,-0.9861451487825116,0.9531233333333032,0.3222999999999999,5,0.0,50.0,50.0,50.0,50.0,8.7
